    i            x(i)           dx(i)
  147     7.32500E+00     5.00000E-02
  148     7.37500E+00     5.00000E-02
  149     7.42500E+00     5.00000E-02
  150     7.47500E+00     5.00000E-02
  151     7.52500E+00     5.00000E-02
  152     7.57500E+00     5.00000E-02
  153     7.62500E+00     5.00000E-02
  154     7.67500E+00     5.00000E-02
  155     7.72500E+00     5.00000E-02
  156     7.77500E+00     5.00000E-02
  157     7.82500E+00     5.00000E-02
  158     7.87500E+00     5.00000E-02
  159     7.92500E+00     5.00000E-02
  160     7.97500E+00     5.00000E-02
  161     8.02500E+00     5.00000E-02
  162     8.07500E+00     5.00000E-02
  163     8.12500E+00     5.00000E-02
  164     8.17500E+00     5.00000E-02
  165     8.22500E+00     5.00000E-02
  166     8.27500E+00     5.00000E-02
  167     8.32500E+00     5.00000E-02
  168     8.37500E+00     5.00000E-02
  169     8.42500E+00     5.00000E-02
  170     8.47500E+00     5.00000E-02
  171     8.52500E+00     5.00000E-02
  172     8.57500E+00     5.00000E-02
  173     8.62500E+00     5.00000E-02
  174     8.67500E+00     5.00000E-02
  175     8.72500E+00     5.00000E-02
  176     8.77500E+00     5.00000E-02
  177     8.82500E+00     5.00000E-02
  178     8.87500E+00     5.00000E-02
  179     8.92500E+00     5.00000E-02
  180     8.97500E+00     5.00000E-02
  181     9.02500E+00     5.00000E-02
  182     9.07500E+00     5.00000E-02
  183     9.12500E+00     5.00000E-02
  184     9.17500E+00     5.00000E-02
  185     9.22500E+00     5.00000E-02
  186     9.27500E+00     5.00000E-02
  187     9.32500E+00     5.00000E-02
  188     9.37500E+00     5.00000E-02
  189     9.42500E+00     5.00000E-02
  190     9.47500E+00     5.00000E-02
  191     9.52500E+00     5.00000E-02
  192     9.57500E+00     5.00000E-02
  193     9.62500E+00     5.00000E-02
  194     9.67500E+00     5.00000E-02
  195     9.72500E+00     5.00000E-02
  196     9.77500E+00     5.00000E-02
  197     9.82500E+00     5.00000E-02
  198     9.87500E+00     5.00000E-02
  199     9.92500E+00     5.00000E-02
  200     9.97500E+00     5.00000E-02
